name,path,volume,date
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170829.jcsv,9966180,20170829
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170309.jcsv,7614630,20170309
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170308.jcsv,6555480,20170308
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170630.jcsv,6500610,20170630
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170307.jcsv,3636720,20170307
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170306.jcsv,5954040,20170306
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170731.jcsv,4892820,20170731
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171018.jcsv,3368730,20171018
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171019.jcsv,3324120,20171019
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171016.jcsv,5482020,20171016
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171017.jcsv,4823040,20171017
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170831.jcsv,5106390,20170831
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170830.jcsv,8985720,20170830
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171012.jcsv,3747390,20171012
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171013.jcsv,3829860,20171013
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171010.jcsv,3504360,20171010
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171011.jcsv,3776610,20171011
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170406.jcsv,4187280,20170406
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170407.jcsv,9844770,20170407
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170405.jcsv,2486670,20170405
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170929.jcsv,3162930,20170929
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170726.jcsv,8379480,20170726
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170721.jcsv,7863030,20170721
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170720.jcsv,5818020,20170720
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170727.jcsv,7485660,20170727
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170928.jcsv,4324350,20170928
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170725.jcsv,4327950,20170725
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170724.jcsv,5476950,20170724
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170925.jcsv,3551430,20170925
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170322.jcsv,6677280,20170322
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170927.jcsv,4731480,20170927
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170926.jcsv,7688730,20170926
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170921.jcsv,6778080,20170921
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170920.jcsv,3202710,20170920
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170922.jcsv,4646160,20170922
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170808.jcsv,6030600,20170808
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170809.jcsv,10652970,20170809
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170807.jcsv,11795700,20170807
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170804.jcsv,5218800,20170804
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170802.jcsv,5138040,20170802
ag1708,/kywk/strategy/strange/future/ag/ag2017/ag1708/ag1708_20170803.jcsv,6744210,20170803
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170801.jcsv,5275170,20170801
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170728.jcsv,5877750,20170728
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170414.jcsv,4462110,20170414
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170417.jcsv,6488370,20170417
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170411.jcsv,4979850,20170411
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170410.jcsv,9524670,20170410
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170413.jcsv,6227460,20170413
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170412.jcsv,8690490,20170412
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170419.jcsv,8173080,20170419
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170418.jcsv,4967010,20170418
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170717.jcsv,8273070,20170717
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170714.jcsv,9243990,20170714
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170207.jcsv,5535150,20170207
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170712.jcsv,12472140,20170712
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170713.jcsv,7842180,20170713
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170710.jcsv,19204950,20170710
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170711.jcsv,17073540,20170711
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170208.jcsv,6428910,20170208
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170209.jcsv,6357570,20170209
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170718.jcsv,6086760,20170718
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170719.jcsv,5475150,20170719
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170811.jcsv,11035260,20170811
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170810.jcsv,13014270,20170810
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170815.jcsv,9564090,20170815
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170814.jcsv,10680960,20170814
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170817.jcsv,14089500,20170817
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170816.jcsv,6810840,20170816
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170818.jcsv,8112300,20170818
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170525.jcsv,5040210,20170525
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170118.jcsv,11271060,20170118
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170119.jcsv,8581740,20170119
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170908.jcsv,8764830,20170908
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170116.jcsv,9878940,20170116
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170117.jcsv,7583430,20170117
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170110.jcsv,7360380,20170110
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170111.jcsv,8992950,20170111
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170112.jcsv,10229880,20170112
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170113.jcsv,7664910,20170113
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170331.jcsv,6330450,20170331
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170524.jcsv,6232140,20170524
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170703.jcsv,4960230,20170703
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170705.jcsv,5192910,20170705
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170704.jcsv,11605740,20170704
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170707.jcsv,14498310,20170707
