name,path,volume,date
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160906.jcsv,5687760,20160906
ag1611,/kywk/strategy/strange/future/ag/ag2016/ag1611/ag1611_20160907.jcsv,1864560,20160907
ag1701,/kywk/strategy/strange/future/ag/ag2016/ag1701/ag1701_20160905.jcsv,3414210,20160905
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160902.jcsv,10849590,20160902
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160901.jcsv,6415080,20160901
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160422.jcsv,18815880,20160422
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161102.jcsv,9633420,20161102
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160908.jcsv,7675800,20160908
ag1705,/kywk/strategy/strange/future/ag/ag2016/ag1705/ag1705_20160909.jcsv,111960,20160909
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160608.jcsv,5226870,20160608
ag1604,/kywk/strategy/strange/future/ag/ag2016/ag1604/ag1604_20160308.jcsv,12757740,20160308
ag1610,/kywk/strategy/strange/future/ag/ag2016/ag1610/ag1610_20160309.jcsv,6572820,20160309
ag1704,/kywk/strategy/strange/future/ag/ag2016/ag1704/ag1704_20161018.jcsv,58482300,20161018
ag1609,/kywk/strategy/strange/future/ag/ag2016/ag1609/ag1609_20160304.jcsv,43497360,20160304
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160307.jcsv,24969930,20160307
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161013.jcsv,7659210,20161013
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160301.jcsv,7028340,20160301
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160302.jcsv,7332090,20160302
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160303.jcsv,7297590,20160303
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160919.jcsv,5596500,20160919
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160223.jcsv,4699410,20160223
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161208.jcsv,19988370,20161208
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161209.jcsv,11652750,20161209
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161206.jcsv,10350870,20161206
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161109.jcsv,21202680,20161109
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161205.jcsv,14712660,20161205
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161202.jcsv,8824650,20161202
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161201.jcsv,13595430,20161201
